,filename,discrete_pauses,actual_pauses
0,10,"['x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'medium-p', 'x-strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'strong', 'weak', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong']","[0.8800000000000003, 0.8999999999999995, 0.23000000000000043, 0.9100000000000001, 0.07000000000000028, 0.05000000000000071, 0.8800000000000026, 0.08999999999999986, 0.129999999999999, 0.9299999999999997, 0.09999999999999787, 0.8500000000000014, 0.07000000000000028, 0.0800000000000054, 0.010000000000005116, 0.8800000000000026, 0.9299999999999997, 0.8700000000000045, 0.9299999999999997, 0.0800000000000054, 0.8900000000000006]"
0,11,"['x-strong', 'strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong']","[0.8999999999999995, 0.08000000000000007, 0.8599999999999994, 0.8699999999999992, 0.120000000000001, 0.16999999999999815, 0.21000000000000085, 0.870000000000001, 0.9000000000000021, 0.14000000000000057, 0.14000000000000057, 0.8699999999999974, 0.12999999999999545, 0.8900000000000006, 0.060000000000002274, 0.20000000000000284, 0.8699999999999974]"
0,12,"['strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'strong', 'x-strong']","[0.06999999999999984, 0.08000000000000007, 0.9000000000000004, 0.9000000000000004, 0.8899999999999988, 0.879999999999999, 0.9199999999999982, 0.879999999999999, 0.8699999999999974, 0.8700000000000045, 0.19000000000000483, 0.8999999999999986, 0.8599999999999994, 0.8999999999999986, 0.8900000000000006, 0.9200000000000017, 0.060000000000002274, 0.8900000000000077, 0.789999999999992, 0.9000000000000057]"
0,13,"['strong', 'x-strong', 'strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-strong', 'x-strong', 'weak', 'x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-weak', 'medium-p', 'weak']","[0.11999999999999966, 0.8900000000000006, 0.10999999999999943, 1.17, 0.07000000000000028, 0.1399999999999988, 0.9000000000000021, 0.860000000000003, 0.9000000000000021, 0.05999999999999872, 0.8599999999999994, 0.8700000000000045, 0.8999999999999986, 0.9099999999999966, 0.04999999999999716, 0.8900000000000006, 0.12999999999999545, 0.8700000000000045, 0.9200000000000017, 0.0799999999999983, 0.8599999999999994, 0.8900000000000006, 0.020000000000010232, 0.07000000000000739, 0.03999999999999204]"
0,14,"['x-strong', 'medium-p', 'medium-p', 'medium-p', 'strong', 'medium-p', 'weak', 'x-strong', 'strong', 'strong', 'weak', 'strong', 'medium-p', 'x-strong', 'medium-p', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong']","[0.8799999999999999, 0.11000000000000032, 0.1200000000000001, 0.09999999999999964, 0.870000000000001, 0.08999999999999986, 0.07000000000000028, 0.879999999999999, 0.14999999999999858, 0.870000000000001, 0.07000000000000028, 0.870000000000001, 0.09000000000000341, 0.879999999999999, 0.13000000000000256, 0.1699999999999946, 0.8799999999999955, 0.8699999999999974, 0.8800000000000026, 0.8699999999999974, 0.8800000000000026, 0.8900000000000006, 0.8900000000000006]"
0,15,"['strong', 'strong', 'medium-p', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong']","[0.8500000000000001, 0.1200000000000001, 0.07000000000000028, 0.1200000000000001, 0.10000000000000053, 0.8699999999999992, 0.08999999999999986, 0.8900000000000006, 0.8999999999999986, 0.870000000000001, 0.8999999999999986, 0.08999999999999986, 0.18999999999999773, 0.8899999999999935, 0.9200000000000017, 0.09999999999999432, 0.8999999999999986, 0.8900000000000006, 0.8699999999999974]"
0,16,"['x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong']","[0.8800000000000001, 0.9000000000000004, 0.8699999999999992, 0.8999999999999986, 0.8800000000000026, 0.060000000000002274, 0.8999999999999986, 0.8800000000000026, 0.8900000000000006, 0.8700000000000045, 0.18000000000000682, 0.8999999999999986, 0.9200000000000017, 0.0800000000000054, 0.9099999999999966, 0.9300000000000068, 0.9100000000000108]"
0,17,"['medium-p', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'x-strong']","[0.04999999999999982, 0.06999999999999984, 0.8799999999999999, 0.9100000000000001, 0.08000000000000007, 0.870000000000001, 0.08999999999999986, 0.09000000000000341, 0.8900000000000006, 0.9099999999999966, 0.10000000000000142, 0.09000000000000341, 0.9100000000000037, 0.11999999999999744, 0.12000000000000455, 0.8700000000000045, 0.8699999999999974, 0.18999999999999773]"
0,18,"['strong', 'x-strong', 'x-strong', 'strong', 'weak', 'strong', 'strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'weak', 'x-strong', 'medium-p', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'strong', 'x-strong']","[0.8699999999999999, 0.9199999999999999, 0.9000000000000004, 0.7799999999999994, 0.040000000000000924, 0.879999999999999, 0.879999999999999, 0.8900000000000006, 0.05999999999999872, 0.8500000000000014, 0.8900000000000006, 0.03999999999999915, 0.8999999999999986, 0.060000000000002274, 0.8800000000000026, 0.09000000000000341, 0.9099999999999966, 0.10000000000000142, 0.9099999999999966, 0.05999999999999517, 0.10999999999999943, 0.9399999999999977, 0.14000000000000057, 0.9100000000000108]"
0,19,"['x-strong', 'strong', 'medium-p', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong']","[0.8900000000000001, 0.08999999999999986, 0.05000000000000071, 0.16000000000000014, 0.8800000000000008, 0.07000000000000028, 0.870000000000001, 0.0799999999999983, 0.17999999999999972, 0.879999999999999, 0.870000000000001, 0.14000000000000057, 0.10000000000000142, 0.9200000000000017]"
